3	014	54	2:15:03
3	025	62	2:15:03
3	004	41	2:15:03
3	017	58	2:15:03
3	026	59	2:15:03
3	013	54	2:15:03
3	016	59	2:15:03
3	019	48	2:15:03
3	002	42	2:15:03
3	018	56	2:15:03
3	009	51	2:15:03
3	007	51	2:15:03
3	023	49	2:15:03
3	011	51	2:15:03
3	012	45	2:15:03
3	015	53	2:15:03
3	001	48	2:15:03
3	010	54	2:15:03
3	022	52	2:15:03
3	021	41	2:15:03
3	003	45	2:15:03
3	008	44	2:15:03
4	007	63	2:15:03
4	014	51	2:15:03
4	008	64	2:15:03
4	009	59	2:15:03
1	001	60	2:15:03
1	002	58	2:15:03
1	010	50	2:15:03
1	003	58	2:15:03
1	004	53	2:15:03
1	021	48	2:15:03
1	011	59	2:15:03
1	012	55	2:15:03
1	019	48	2:15:03
1	020	52	2:15:03
1	023	50	2:15:03
1	022	50	2:15:03
1	024	50	2:15:03
1	015	47	2:15:03
1	013	51	2:15:03
1	001	61	2:15:03
1	002	59	2:15:03
1	005	50	2:15:03
1	010	54	2:15:03
1	011	57	2:15:03
1	014	50	2:15:03
1	022	54	2:15:03
1	020	50	2:15:03
1	004	51	2:15:03
1	015	45	2:15:03
1	013	49	2:15:03
1	003	60	2:15:03
1	021	49	2:15:03
1	012	57	2:15:03
1	023	53	2:15:03
2	020	61	2:15:03
2	011	55	2:15:03
2	023	58	2:15:03
2	010	57	2:15:03
2	014	56	2:15:03
2	012	54	2:15:03
2	021	58	2:15:03
2	016	45	2:15:03
2	018	53	2:15:03
2	025	44	2:15:03
2	005	55	2:15:03
2	002	42	2:15:03
2	015	52	2:15:03
2	027	48	2:15:03
2	022	58	2:15:03
2	013	54	2:15:03
2	001	50	2:15:03
2	017	53	2:15:03
2	026	48	2:15:03
2	006	54	2:15:03
2	004	45	2:15:03
2	003	47	2:15:03
2	020	61	2:15:03
3	026	58	2:15:03
3	027	56	2:15:04
3	016	58	2:15:04
3	014	50	2:15:04
3	017	57	2:15:04
3	013	52	2:15:04
3	006	48	2:15:04
3	025	62	2:15:04
3	022	57	2:15:04
3	018	56	2:15:04
3	024	54	2:15:04
3	019	50	2:15:04
